,season,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,month,year
34,spring,0,Sunday,0,Mist + Cloudy,8.663464,58.5217,8.565213,88,1620,1708,February,2018
35,spring,0,Monday,1,Mist + Cloudy,9.566653,92.9167,10.792293,100,905,1005,February,2018
36,spring,0,Tuesday,1,Clear,11.719153,56.8333,9.5006,354,1269,1623,February,2018
37,spring,0,Wednesday,1,Clear,11.138347,73.8333,3.0423561,120,1592,1712,February,2018
38,spring,0,Thursday,1,Clear,9.054153,53.7917,24.25065,64,1466,1530,February,2018
39,spring,0,Friday,1,Mist + Cloudy,5.526103,49.4783,12.652213,53,1552,1605,February,2018
40,spring,0,Saturday,0,Clear,5.918268,43.7391,14.869645,47,1491,1538,February,2018
41,spring,0,Sunday,0,Clear,7.752731,50.6364,7.27285,149,1597,1746,February,2018
42,spring,0,Monday,1,Clear,9.1225,54.4167,13.625589,288,1184,1472,February,2018
43,spring,0,Tuesday,1,Clear,12.977402,45.7391,17.479161,397,1192,1589,February,2018
44,spring,0,Wednesday,1,Clear,17.015,37.5833,27.999836,208,1705,1913,February,2018
45,spring,0,Thursday,1,Clear,10.909567,31.4348,19.522058,140,1675,1815,February,2018
46,spring,0,Friday,1,Clear,13.048701,42.3478,16.869997,218,1897,2115,February,2018
47,spring,0,Saturday,0,Clear,17.869153,50.5,15.416968,259,2216,2475,February,2018
48,spring,0,Sunday,0,Clear,21.388347,51.6667,17.749975,579,2348,2927,February,2018
49,spring,0,Monday,1,Clear,16.365847,18.7917,34.000021,532,1103,1635,February,2018
50,spring,0,Tuesday,1,Clear,11.693897,40.7826,14.956745,639,1173,1812,February,2018
51,spring,1,Wednesday,0,Mist + Cloudy,12.436653,60.5,20.625682,195,912,1107,February,2018
52,spring,0,Thursday,1,Clear,7.471102,57.7778,13.110761,74,1376,1450,February,2018
53,spring,0,Friday,1,Clear,9.091299,42.3043,6.305571,139,1778,1917,February,2018
54,spring,0,Saturday,0,Mist + Cloudy,12.121732,69.7391,16.783232,100,1707,1807,February,2018
55,spring,0,Sunday,0,Mist + Cloudy,14.938268,71.2174,23.218113,120,1341,1461,February,2018
56,spring,0,Monday,1,Clear,11.5825,53.7917,12.500257,424,1545,1969,February,2018
57,spring,0,Tuesday,1,Clear,14.082598,68.0,8.391616,694,1708,2402,February,2018
58,spring,0,Wednesday,1,Mist + Cloudy,16.698193,87.6364,19.408962,81,1365,1446,February,2018
59,spring,0,Thursday,1,Clear,10.933347,53.5,14.500475,137,1714,1851,March,2018
60,spring,0,Friday,1,Clear,13.735,44.9583,20.624811,231,1903,2134,March,2018
61,spring,0,Saturday,0,Clear,8.131653,31.8333,15.125518,123,1562,1685,March,2018
62,spring,0,Sunday,0,Mist + Cloudy,10.728347,61.0417,13.624182,214,1730,1944,March,2018
63,spring,0,Monday,1,Mist + Cloudy,15.750847,78.9167,16.875357,640,1437,2077,March,2018
64,spring,0,Tuesday,1,Mist + Cloudy,15.437402,94.8261,23.000229,114,491,605,March,2018
65,spring,0,Wednesday,1,Clear,10.731299,55.1304,22.870584,244,1628,1872,March,2018
66,spring,0,Thursday,1,Clear,11.9925,42.0833,8.08355,316,1817,2133,March,2018
67,spring,0,Friday,1,Mist + Cloudy,12.129153,77.5417,14.75005,191,1700,1891,March,2018
68,spring,0,Saturday,0,Light Snow,15.952731,0.0,17.545759,46,577,623,March,2018
69,spring,0,Sunday,0,Mist + Cloudy,12.977402,64.9565,15.60899,247,1730,1977,March,2018
70,spring,0,Monday,1,Clear,13.495847,59.4583,14.791925,724,1408,2132,March,2018
71,spring,0,Tuesday,1,Clear,15.758268,52.7391,18.130468,982,1435,2417,March,2018
72,spring,0,Wednesday,1,Clear,13.333897,49.6957,9.174042,359,1687,2046,March,2018
73,spring,0,Thursday,1,Mist + Cloudy,13.013031,65.5652,12.348703,289,1767,2056,March,2018
74,spring,0,Friday,1,Mist + Cloudy,14.973897,77.6522,13.608839,321,1871,2192,March,2018
75,spring,0,Saturday,0,Clear,17.015,60.2917,14.041793,424,2320,2744,March,2018
76,spring,0,Sunday,0,Clear,22.14,52.5217,15.478139,884,2355,3239,March,2018
77,spring,0,Monday,1,Clear,19.3725,37.9167,24.667189,1424,1693,3117,March,2018
78,spring,0,Tuesday,1,Clear,13.6325,47.375,13.917307,1047,1424,2471,March,2018
79,summer,0,Wednesday,1,Mist + Cloudy,17.647835,73.7391,19.348461,401,1676,2077,March,2018
80,summer,0,Thursday,1,Clear,18.108347,62.4583,15.12525,460,2243,2703,March,2018
81,summer,0,Friday,1,Mist + Cloudy,14.225237,83.9565,15.695487,203,1918,2121,March,2018
82,summer,0,Saturday,0,Mist + Cloudy,11.685,80.5833,16.333729,166,1699,1865,March,2018
83,summer,0,Sunday,0,Clear,10.830847,49.5,15.458575,300,1910,2210,March,2018
84,summer,0,Monday,1,Clear,10.899153,39.4167,14.041257,981,1515,2496,March,2018
85,summer,0,Tuesday,1,Mist + Cloudy,10.374763,49.3913,12.3481,472,1221,1693,March,2018
86,summer,0,Wednesday,1,Clear,10.838268,30.2174,14.217668,222,1806,2028,March,2018
87,summer,0,Thursday,1,Clear,12.4025,31.4167,15.208732,317,2108,2425,March,2018
88,summer,0,Friday,1,Mist + Cloudy,12.3,64.6667,11.583496,168,1368,1536,March,2018
89,summer,0,Saturday,0,Light Snow,11.001653,91.8333,14.582282,179,1506,1685,March,2018
90,summer,0,Sunday,0,Mist + Cloudy,12.3,68.625,17.333436,307,1920,2227,April,2018
91,summer,0,Monday,1,Mist + Cloudy,12.915,65.375,13.208782,898,1354,2252,April,2018
92,summer,0,Tuesday,1,Clear,15.511653,48.0,12.208271,1651,1598,3249,April,2018
93,summer,0,Wednesday,1,Clear,23.506653,42.625,25.833257,734,2381,3115,April,2018
94,summer,0,Thursday,1,Mist + Cloudy,16.980847,64.2083,26.000489,167,1628,1795,April,2018
95,summer,0,Friday,1,Clear,16.024153,47.0833,17.625221,413,2395,2808,April,2018
96,summer,0,Saturday,0,Clear,17.9375,60.2917,10.874904,571,2570,3141,April,2018
97,summer,0,Sunday,0,Mist + Cloudy,13.769153,83.625,15.208464,172,1299,1471,April,2018
98,summer,0,Monday,1,Mist + Cloudy,14.0425,87.75,8.916561,879,1576,2455,April,2018
99,summer,0,Tuesday,1,Mist + Cloudy,17.493347,85.75,9.833389,1188,1707,2895,April,2018
100,summer,0,Wednesday,1,Mist + Cloudy,24.421732,71.6956,21.739758,855,2493,3348,April,2018
101,summer,0,Thursday,1,Mist + Cloudy,20.6025,73.9167,18.416893,257,1777,2034,April,2018
102,summer,0,Friday,1,Mist + Cloudy,16.9125,81.9167,16.791339,209,1953,2162,April,2018
103,summer,0,Saturday,0,Clear,19.1675,54.0417,7.4169,529,2738,3267,April,2018
104,summer,1,Sunday,0,Clear,18.313347,67.125,15.167125,642,2484,3126,April,2018
105,summer,0,Monday,1,Light Snow,17.664153,88.8333,22.834136,121,674,795,April,2018
106,summer,0,Tuesday,1,Clear,18.723347,47.9583,20.334232,1558,2186,3744,April,2018
107,summer,0,Wednesday,1,Clear,21.0125,54.25,10.958989,669,2760,3429,April,2018
108,summer,0,Thursday,1,Mist + Cloudy,20.739153,66.5833,10.584057,409,2795,3204,April,2018
109,summer,0,Friday,1,Clear,24.395,61.4167,16.208975,613,3331,3944,April,2018
110,summer,0,Saturday,0,Clear,18.825847,40.7083,21.792286,745,3444,4189,April,2018
111,summer,0,Sunday,0,Mist + Cloudy,13.803347,72.9583,14.707907,177,1506,1683,April,2018
112,summer,0,Monday,1,Mist + Cloudy,18.86,88.7917,15.458575,1462,2574,4036,April,2018
113,summer,0,Tuesday,1,Mist + Cloudy,23.848347,81.0833,12.875725,1710,2481,4191,April,2018
114,summer,0,Wednesday,1,Clear,24.873347,77.6667,12.417311,773,3300,4073,April,2018
115,summer,0,Thursday,1,Clear,25.898347,72.9167,21.8755,678,3722,4400,April,2018
116,summer,0,Friday,1,Mist + Cloudy,25.42,83.5417,20.9174,547,3325,3872,April,2018
117,summer,0,Saturday,0,Mist + Cloudy,25.3175,70.0833,21.500836,569,3489,4058,April,2018
118,summer,0,Sunday,0,Clear,20.91,45.7083,16.084221,878,3717,4595,April,2018
119,summer,0,Monday,1,Clear,19.3725,50.3333,15.750025,1965,3347,5312,April,2018
120,summer,0,Tuesday,1,Mist + Cloudy,18.518347,76.2083,7.125718,1138,2213,3351,May,2018
121,summer,0,Wednesday,1,Mist + Cloudy,22.515847,73.0,12.291418,847,3554,4401,May,2018
122,summer,0,Thursday,1,Mist + Cloudy,25.283347,69.7083,22.958689,603,3848,4451,May,2018
123,summer,0,Friday,1,Mist + Cloudy,16.980847,73.7083,22.042732,255,2378,2633,May,2018
124,summer,0,Saturday,0,Clear,18.825847,44.4167,19.791264,614,3819,4433,May,2018
125,summer,0,Sunday,0,Clear,19.645847,59.0,15.292482,894,3714,4608,May,2018
126,summer,0,Monday,1,Clear,21.32,54.125,10.75015,1612,3102,4714,May,2018
127,summer,0,Tuesday,1,Clear,21.661653,63.1667,5.0007125,1401,2932,4333,May,2018
128,summer,0,Wednesday,1,Clear,21.8325,58.875,11.792,664,3698,4362,May,2018
129,summer,0,Thursday,1,Clear,21.8325,48.9167,7.749957,694,4109,4803,May,2018
130,summer,0,Friday,1,Clear,22.2425,63.2917,8.083014,550,3632,4182,May,2018
131,summer,0,Saturday,0,Clear,21.935,74.75,12.707689,695,4169,4864,May,2018
132,summer,0,Sunday,0,Mist + Cloudy,21.0125,86.3333,12.041575,692,3413,4105,May,2018
133,summer,0,Monday,1,Mist + Cloudy,21.354153,92.25,9.04165,902,2507,3409,May,2018
134,summer,0,Tuesday,1,Mist + Cloudy,23.0625,86.7083,10.249593,1582,2971,4553,May,2018
135,summer,0,Wednesday,1,Clear,23.6775,78.7917,8.500357,773,3185,3958,May,2018
136,summer,0,Thursday,1,Mist + Cloudy,23.028347,83.7917,18.582718,678,3445,4123,May,2018
137,summer,0,Friday,1,Mist + Cloudy,22.55,87.0,13.499964,536,3319,3855,May,2018
138,summer,0,Saturday,0,Mist + Cloudy,21.764153,82.9583,7.250271,735,3840,4575,May,2018
139,summer,0,Sunday,0,Clear,22.003347,71.9583,8.375871,909,4008,4917,May,2018
140,summer,0,Monday,1,Clear,24.7025,62.6667,8.08355,2258,3547,5805,May,2018
141,summer,0,Tuesday,1,Clear,24.770847,74.9583,9.916536,1576,3084,4660,May,2018
142,summer,0,Wednesday,1,Mist + Cloudy,25.898347,81.0,15.667414,836,3438,4274,May,2018
143,summer,0,Thursday,1,Mist + Cloudy,27.06,74.0833,13.875164,659,3833,4492,May,2018
144,summer,0,Friday,1,Clear,27.094153,69.625,10.333611,740,4238,4978,May,2018
145,summer,0,Saturday,0,Clear,29.041653,67.75,13.376014,758,3919,4677,May,2018
146,summer,0,Sunday,0,Clear,27.948347,65.375,16.125493,871,3808,4679,May,2018
147,summer,0,Monday,1,Clear,26.889153,72.9583,15.416164,2001,2757,4758,May,2018
148,summer,0,Tuesday,1,Clear,27.3675,81.875,14.333846,2355,2433,4788,May,2018
149,summer,1,Wednesday,0,Clear,30.066653,68.5,8.792075,1549,2549,4098,May,2018
150,summer,0,Thursday,1,Clear,31.775,63.6667,7.459043,673,3309,3982,May,2018
151,summer,0,Friday,1,Mist + Cloudy,31.330847,67.7083,13.875164,513,3461,3974,June,2018
152,summer,0,Saturday,0,Clear,29.315,30.5,19.583229,736,4232,4968,June,2018
153,summer,0,Sunday,0,Clear,25.42,35.4167,16.959107,898,4414,5312,June,2018
154,summer,0,Monday,1,Clear,26.035,45.625,8.250514,1869,3473,5342,June,2018
155,summer,0,Tuesday,1,Mist + Cloudy,26.581653,65.25,9.292364,1685,3221,4906,June,2018
156,summer,0,Wednesday,1,Clear,27.811653,60.0,8.167032,673,3875,4548,June,2018
157,summer,0,Thursday,1,Clear,29.0075,59.7917,12.583136,763,4070,4833,June,2018
158,summer,0,Friday,1,Clear,31.809153,62.2083,9.166739,676,3725,4401,June,2018
159,summer,0,Saturday,0,Mist + Cloudy,33.141653,56.8333,10.042161,563,3352,3915,June,2018
160,summer,0,Sunday,0,Clear,30.955,60.5,9.417118,815,3771,4586,June,2018
161,summer,0,Monday,1,Clear,29.725,65.4583,10.37495,1729,3237,4966,June,2018
162,summer,0,Tuesday,1,Clear,28.3925,74.7917,10.958989,1467,2993,4460,June,2018
163,summer,0,Wednesday,1,Clear,26.035,49.4583,20.45845,863,4157,5020,June,2018
164,summer,0,Thursday,1,Clear,24.770847,50.7083,18.041961,727,4164,4891,June,2018
165,summer,0,Friday,1,Clear,25.693347,47.1667,11.250104,769,4411,5180,June,2018
166,summer,0,Saturday,0,Mist + Cloudy,25.761653,68.8333,13.833557,545,3222,3767,June,2018
167,summer,0,Sunday,0,Clear,26.615847,73.5833,9.582943,863,3981,4844,June,2018
168,summer,0,Monday,1,Clear,28.563347,67.0417,8.000336,1807,3312,5119,June,2018
169,summer,0,Tuesday,1,Mist + Cloudy,28.665847,66.6667,6.834,1639,3105,4744,June,2018
170,summer,0,Wednesday,1,Mist + Cloudy,26.035,74.625,10.416825,699,3311,4010,June,2018
171,fall,0,Thursday,1,Mist + Cloudy,27.914153,77.0417,11.458675,774,4061,4835,June,2018
172,fall,0,Friday,1,Clear,30.066653,70.75,11.541554,661,3846,4507,June,2018
173,fall,0,Saturday,0,Mist + Cloudy,29.861653,70.3333,15.999868,746,4044,4790,June,2018
174,fall,0,Sunday,0,Clear,29.690847,57.3333,14.875675,969,4022,4991,June,2018
175,fall,0,Monday,1,Clear,28.495,48.3333,14.041257,1782,3420,5202,June,2018
176,fall,0,Tuesday,1,Clear,27.88,51.3333,6.3337311,1920,3385,5305,June,2018
177,fall,0,Wednesday,1,Mist + Cloudy,27.9825,65.8333,7.208396,854,3854,4708,June,2018
178,fall,0,Thursday,1,Clear,30.510847,63.4167,9.666961,732,3916,4648,June,2018
179,fall,0,Friday,1,Clear,29.861653,49.7917,17.542007,848,4377,5225,June,2018
180,fall,0,Saturday,0,Clear,28.563347,43.4167,12.415904,1027,4488,5515,June,2018
181,fall,0,Sunday,0,Clear,29.6225,39.625,6.874736,1246,4116,5362,July,2018
182,fall,0,Monday,1,Clear,30.271653,44.4583,7.709154,2204,2915,5119,July,2018
183,fall,0,Tuesday,1,Mist + Cloudy,29.383347,68.25,15.333486,2282,2367,4649,July,2018
184,fall,1,Wednesday,0,Mist + Cloudy,29.793347,63.7917,5.4591064,3065,2978,6043,July,2018
185,fall,0,Thursday,1,Clear,30.613347,59.0417,8.459286,1031,3634,4665,July,2018
186,fall,0,Friday,1,Clear,29.52,74.3333,10.042161,784,3845,4629,July,2018
187,fall,0,Saturday,0,Clear,30.75,65.125,10.6664,754,3838,4592,July,2018
188,fall,0,Sunday,0,Mist + Cloudy,29.075847,75.7917,15.083643,692,3348,4040,July,2018
189,fall,0,Monday,1,Clear,30.066653,60.9167,11.250104,1988,3348,5336,July,2018
190,fall,0,Tuesday,1,Clear,30.6475,57.8333,12.292557,1743,3138,4881,July,2018
191,fall,0,Wednesday,1,Clear,31.2625,63.5833,18.916579,723,3363,4086,July,2018
192,fall,0,Thursday,1,Clear,32.560847,55.9167,13.417018,662,3596,4258,July,2018
193,fall,0,Friday,1,Clear,30.613347,63.1667,9.790911,748,3594,4342,July,2018
194,fall,0,Saturday,0,Clear,27.914153,47.625,16.124689,888,4196,5084,July,2018
195,fall,0,Sunday,0,Clear,27.196653,59.125,12.249811,1318,4220,5538,July,2018
196,fall,0,Monday,1,Clear,28.153347,58.5,13.958914,2418,3505,5923,July,2018
197,fall,0,Tuesday,1,Clear,29.485847,60.4167,16.417211,2006,3296,5302,July,2018
198,fall,0,Wednesday,1,Clear,30.613347,65.125,14.458868,841,3617,4458,July,2018
199,fall,0,Thursday,1,Clear,31.843347,65.0417,8.7502,752,3789,4541,July,2018
200,fall,0,Friday,1,Clear,31.501653,70.7083,7.625739,644,3688,4332,July,2018
201,fall,0,Saturday,0,Mist + Cloudy,33.415,69.125,14.875407,632,3152,3784,July,2018
202,fall,0,Sunday,0,Clear,34.781653,58.0417,8.9177,562,2825,3387,July,2018
203,fall,0,Monday,1,Clear,34.815847,50.0,8.791807,987,2298,3285,July,2018
204,fall,0,Tuesday,1,Clear,34.03,55.0833,11.334457,1050,2556,3606,July,2018
205,fall,0,Wednesday,1,Clear,30.476653,75.7083,6.0841561,568,3272,3840,July,2018
206,fall,0,Thursday,1,Clear,31.638347,54.0833,13.417286,750,3840,4590,July,2018
207,fall,0,Friday,1,Clear,31.775,40.2917,12.292021,755,3901,4656,July,2018
208,fall,0,Saturday,0,Clear,31.945847,58.3333,11.958093,606,3784,4390,July,2018
209,fall,0,Sunday,0,Clear,34.371653,54.25,11.667246,670,3176,3846,July,2018
210,fall,0,Monday,1,Clear,32.970847,46.5833,11.291979,1559,2916,4475,July,2018
211,fall,0,Tuesday,1,Clear,33.039153,48.0833,11.042471,1524,2778,4302,July,2018
212,fall,0,Wednesday,1,Clear,31.638347,55.0833,10.500039,729,3537,4266,August,2018
213,fall,0,Thursday,1,Clear,32.116653,49.125,13.79195,801,4044,4845,August,2018
214,fall,0,Friday,1,Mist + Cloudy,29.998347,65.75,9.084061,467,3107,3574,August,2018
215,fall,0,Saturday,0,Mist + Cloudy,29.11,75.75,13.20905,799,3777,4576,August,2018
216,fall,0,Sunday,0,Clear,29.144153,63.0833,12.374632,1023,3843,4866,August,2018
217,fall,0,Monday,1,Mist + Cloudy,29.383347,75.5,15.29275,1521,2773,4294,August,2018
218,fall,0,Tuesday,1,Clear,30.4425,75.2917,13.499629,1298,2487,3785,August,2018
219,fall,0,Wednesday,1,Clear,31.365,59.2083,12.875725,846,3480,4326,August,2018
220,fall,0,Thursday,1,Clear,31.775,57.0417,10.125107,907,3695,4602,August,2018
221,fall,0,Friday,1,Clear,31.433347,42.4167,13.417286,884,3896,4780,August,2018
222,fall,0,Saturday,0,Clear,29.4175,42.375,11.041332,812,3980,4792,August,2018
223,fall,0,Sunday,0,Clear,29.041653,41.5,8.416607,1051,3854,4905,August,2018
224,fall,0,Monday,1,Mist + Cloudy,28.119153,72.9583,14.167418,1504,2646,4150,August,2018
225,fall,0,Tuesday,1,Mist + Cloudy,27.743347,81.75,14.916411,1338,2482,3820,August,2018
226,fall,0,Wednesday,1,Clear,27.299153,71.2083,13.999918,775,3563,4338,August,2018
227,fall,0,Thursday,1,Clear,28.734153,57.8333,15.834043,721,4004,4725,August,2018
228,fall,0,Friday,1,Clear,29.656653,57.5417,9.625689,668,4026,4694,August,2018
229,fall,0,Saturday,0,Clear,29.178347,65.4583,15.624936,639,3166,3805,August,2018
230,fall,0,Sunday,0,Mist + Cloudy,28.085,72.2917,9.333636,797,3356,4153,August,2018
231,fall,0,Monday,1,Clear,28.5975,67.4167,6.999289,1914,3277,5191,August,2018
232,fall,0,Tuesday,1,Clear,29.144153,77.0,16.666518,1249,2624,3873,August,2018
233,fall,0,Wednesday,1,Clear,28.358347,47.0,18.54225,833,3925,4758,August,2018
234,fall,0,Thursday,1,Clear,26.274153,45.5417,9.833121,1281,4614,5895,August,2018
235,fall,0,Friday,1,Clear,27.606653,60.5,16.958236,949,4181,5130,August,2018
236,fall,0,Saturday,0,Mist + Cloudy,28.050847,77.1667,14.125811,435,3107,3542,August,2018
237,fall,0,Sunday,0,Clear,28.7,76.125,5.6254875,768,3893,4661,August,2018
238,fall,0,Monday,1,Mist + Cloudy,27.88,85.0,25.166339,226,889,1115,August,2018
239,fall,0,Tuesday,1,Clear,28.989419,56.1765,20.412153,1415,2919,4334,August,2018
240,fall,0,Wednesday,1,Clear,26.103347,55.4583,10.708275,729,3905,4634,August,2018
241,fall,0,Thursday,1,Clear,26.205847,54.8333,8.375536,775,4429,5204,August,2018
242,fall,0,Friday,1,Clear,26.923347,59.7917,5.5833311,688,4370,5058,August,2018
243,fall,0,Saturday,0,Clear,26.855,63.9167,9.500332,783,4332,5115,September,2018
244,fall,0,Sunday,0,Mist + Cloudy,26.376653,72.7083,9.375243,875,3852,4727,September,2018
245,fall,0,Monday,1,Clear,27.435847,71.6667,12.416775,1935,2549,4484,September,2018
246,fall,0,Tuesday,1,Clear,29.075847,74.2083,13.833289,2521,2419,4940,September,2018
247,fall,1,Wednesday,0,Mist + Cloudy,27.606653,79.0417,14.250632,1236,2115,3351,September,2018
248,fall,0,Thursday,1,Light Snow,22.14,88.6957,23.044181,204,2506,2710,September,2018
249,fall,0,Friday,1,Light Snow,24.565847,91.7083,6.5003936,118,1878,1996,September,2018
250,fall,0,Saturday,0,Light Snow,25.990433,93.9565,12.914116,153,1689,1842,September,2018
251,fall,0,Sunday,0,Mist + Cloudy,26.65,89.7917,8.333393,417,3127,3544,September,2018
252,fall,0,Monday,1,Clear,27.06,75.375,10.291736,1750,3595,5345,September,2018
253,fall,0,Tuesday,1,Clear,26.786653,71.375,7.708618,1633,3413,5046,September,2018
254,fall,0,Wednesday,1,Clear,26.418268,69.2174,5.957171,690,4023,4713,September,2018
255,fall,0,Thursday,1,Clear,26.684153,71.25,9.500868,701,4062,4763,September,2018
256,fall,0,Friday,1,Clear,27.606653,69.7083,11.2091,647,4138,4785,September,2018
257,fall,0,Saturday,0,Mist + Cloudy,23.6775,70.9167,18.166782,428,3231,3659,September,2018
258,fall,0,Sunday,0,Mist + Cloudy,19.235847,59.0417,11.000261,742,4018,4760,September,2018
259,fall,0,Monday,1,Mist + Cloudy,20.158347,71.8333,12.708225,1434,3077,4511,September,2018
260,fall,0,Tuesday,1,Clear,20.8075,69.5,11.958361,1353,2921,4274,September,2018
261,fall,0,Wednesday,1,Mist + Cloudy,22.515847,69.0,10.166714,691,3848,4539,September,2018
262,fall,0,Thursday,1,Mist + Cloudy,23.028347,88.125,9.041918,438,3203,3641,September,2018
263,fall,0,Friday,1,Mist + Cloudy,24.395,90.0,6.4590814,539,3813,4352,September,2018
264,fall,0,Saturday,0,Mist + Cloudy,25.761653,90.2083,8.584375,555,4240,4795,September,2018
265,winter,0,Sunday,0,Mist + Cloudy,24.975847,97.25,5.2505689,258,2137,2395,September,2018
266,winter,0,Monday,1,Mist + Cloudy,24.873347,86.25,5.2516811,1776,3647,5423,September,2018
267,winter,0,Tuesday,1,Mist + Cloudy,26.000847,84.5,3.3754064,1544,3466,5010,September,2018
268,winter,0,Wednesday,1,Mist + Cloudy,26.615847,84.8333,7.4169,684,3946,4630,September,2018
269,winter,0,Thursday,1,Mist + Cloudy,26.103347,88.5417,7.917457,477,3643,4120,September,2018
270,winter,0,Friday,1,Mist + Cloudy,26.035,84.875,9.958143,480,3427,3907,September,2018
271,winter,0,Saturday,0,Clear,25.283347,69.9167,11.583161,653,4186,4839,September,2018
272,winter,0,Sunday,0,Clear,23.130847,64.75,13.833825,830,4372,5202,September,2018
273,winter,0,Monday,1,Mist + Cloudy,16.81,75.375,19.583832,480,1949,2429,October,2018
274,winter,0,Tuesday,1,Mist + Cloudy,14.623347,79.1667,14.874871,616,2302,2918,October,2018
275,winter,0,Wednesday,1,Mist + Cloudy,15.750847,76.0833,5.5841686,330,3240,3570,October,2018
276,winter,0,Thursday,1,Clear,19.850847,71.0,13.792218,486,3970,4456,October,2018
277,winter,0,Friday,1,Clear,22.071653,64.7917,11.87575,559,4267,4826,October,2018
278,winter,0,Saturday,0,Clear,20.260847,62.0833,9.041918,639,4126,4765,October,2018
279,winter,0,Sunday,0,Clear,20.944153,68.4167,1.5002439,949,4036,4985,October,2018
280,winter,0,Monday,1,Clear,21.388347,70.125,3.0420814,2235,3174,5409,October,2018
281,winter,0,Tuesday,1,Clear,22.174153,72.75,4.25115,2397,3114,5511,October,2018
282,winter,1,Wednesday,0,Clear,23.404153,73.375,2.8343814,1514,3603,5117,October,2018
283,winter,0,Thursday,1,Mist + Cloudy,23.233347,80.875,9.583814,667,3896,4563,October,2018
284,winter,0,Friday,1,Light Snow,22.276653,90.625,16.62605,217,2199,2416,October,2018
285,winter,0,Saturday,0,Mist + Cloudy,24.155847,89.6667,9.499729,290,2623,2913,October,2018
286,winter,0,Sunday,0,Mist + Cloudy,22.584153,71.625,15.000161,529,3115,3644,October,2018
287,winter,0,Monday,1,Clear,20.773347,48.3333,17.291561,1899,3318,5217,October,2018
288,winter,0,Tuesday,1,Clear,20.978347,48.6667,18.875039,1748,3293,5041,October,2018
289,winter,0,Wednesday,1,Clear,21.900847,57.9583,11.750393,713,3857,4570,October,2018
